# Mega Man 8 (SLUS-00453) — hand-curated function annotations.
# Format: 0xADDRESS, note   (one per line; lines starting with # are ignored)
# --- BEGIN auto-derived (tools/analyze_symbols.py) ---
0x800C0000, classified DATA (string literals) rather than code
0x800C0020, classified DATA (string literals) rather than code; 1 GTE ops
0x800C0034, classified DATA (string literals) rather than code
0x800C00AC, classified DATA (string literals) rather than code
0x800C04D8, classified DATA (string literals) rather than code; 1 GTE ops
0x800C0CFC, refs "SPU:T/O [%s]\n"; "wait (reset)"
0x800C1218, refs "SPU:T/O [%s]\n"; "wait (wrdy H -> L)"; "wait (dmaf clear/W)"
0x800C2C5C, SsSeqOpen_checkFormat [guessed] — references the literal "This is not SEQ Data.\n"
0x800C2F84, SsSeqOpen_noSlot [guessed] — references the literal "Can't Open Sequence data any more\n\n"
0x800C5A8C, touches SCRATCH/SPU
0x800CE050, VSync [confirmed] — logs its own name in the literal "VSync: timeout\n"
0x800CE360, refs "unexpected interrupt(%04x)\n"; "intr timeout(%04x:%04x)\n"
0x800CE974, refs "DMA bus error: code=%08x\n"; "MADR[%d]=%08x\n"
0x800CEC24, CdInit [confirmed] — logs its own name in the literal "CdInit: Init failed\n"
0x800CF4A0, DiskError [confirmed] — logs its own name in the literal "DiskError: "
0x800CFA18, refs "CD timeout: "; "%s:(%s) Sync=%s, Ready=%s\n"
0x800CFC98, refs "CD timeout: "; "%s:(%s) Sync=%s, Ready=%s\n"
0x800CFF64, refs "%s...\n"; "%s: no param\n"; "CD timeout: "
0x800D0658, CD_init [confirmed] — logs its own name in the literal "CD_init:"
0x800D08A4, refs "CD timeout: "
0x800D0BA0, CdRead [confirmed] — logs its own name in the literal "CdRead: sector error\n"
0x800D0DC4, CdRead_800D0DC4 [confirmed] — logs its own name in the literal "CdRead: Shell open...\n" (shares its evidence with 0x800D0BA0; suffixed to stay unique)
0x800D1FF0, touches DMA/SCRATCH; refs "DMA STATUS ERROR %x\n"
0x800D2B34, printf_lib [confirmed] — Psy-Q library printf: the overwhelming majority of its call sites stage a format-string address in $a0
0x800D3594, refs "dfe %d\n"
0x800D37C0, ResetGraph [confirmed] — logs its own name in the literal "ResetGraph:jtb=%08x,env=%08x\n"
0x800D3DF0, refs "ClearImage"
0x800D3E84, refs "LoadImage"
0x800D3EE8, refs "StoreImage"
0x800D3F4C, refs "MoveImage"
0x800D440C, PutDispEnv [confirmed] — logs its own name in the literal "PutDispEnv(%08x)...\n"
0x800D6298, refs "GPU timeout:que=%d,stat=%08x,chcr…"; "func=(%08x)(%08x,%08x)\n"
0x800D650C, bios__bu_init [confirmed] — BIOS call thunk -> A0(0x70) = _bu_init
0x800D651C, bios_A0_0xab_ [confirmed] — BIOS call thunk -> A0(0xab) = A0(0xab)
0x800D652C, bios_A0_0xac_ [confirmed] — BIOS call thunk -> A0(0xac) = A0(0xac)
0x800D653C, bios_InitCard [confirmed] — BIOS call thunk -> B0(0x4a) = InitCard
0x800D654C, bios_StartCard [confirmed] — BIOS call thunk -> B0(0x4b) = StartCard
0x800D6594, bios_write_card_sector [confirmed] — BIOS call thunk -> B0(0x4e) = write_card_sector
0x800D65A4, bios_allow_new_card [confirmed] — BIOS call thunk -> B0(0x50) = allow_new_card
0x800D65B4, bios_std_out_puts [confirmed] — BIOS call thunk -> B0(0x3f) = std_out_puts
0x800D65C4, bios_setjmp [confirmed] — BIOS call thunk -> A0(0x13) = setjmp
0x800D65D4, bios_strcpy [confirmed] — BIOS call thunk -> A0(0x19) = strcpy
0x800D65E4, bios_strlen [confirmed] — BIOS call thunk -> A0(0x1b) = strlen
0x800D65F4, bios_memcpy [confirmed] — BIOS call thunk -> A0(0x2a) = memcpy
0x800D6604, bios_memset [confirmed] — BIOS call thunk -> A0(0x2b) = memset
0x800D6614, bios_printf [confirmed] — BIOS call thunk -> A0(0x3f) = printf
0x800D6624, bios_InitHeap [confirmed] — BIOS call thunk -> A0(0x39) = InitHeap
0x800D6634, bios_GPU_cw [confirmed] — BIOS call thunk -> A0(0x49) = GPU_cw
0x800D6644, bios_CdRemove [confirmed] — BIOS call thunk -> A0(0x72) = CdRemove
0x800D6654, bios_DeliverEvent [confirmed] — BIOS call thunk -> B0(0x07) = DeliverEvent
0x800D6664, bios_OpenEvent [confirmed] — BIOS call thunk -> B0(0x08) = OpenEvent
0x800D6674, bios_CloseEvent [confirmed] — BIOS call thunk -> B0(0x09) = CloseEvent
0x800D6684, bios_WaitEvent [confirmed] — BIOS call thunk -> B0(0x0a) = WaitEvent
0x800D6694, bios_TestEvent [confirmed] — BIOS call thunk -> B0(0x0b) = TestEvent
0x800D66A4, bios_EnableEvent [confirmed] — BIOS call thunk -> B0(0x0c) = EnableEvent
0x800D66B4, bios_OpenThread [confirmed] — BIOS call thunk -> B0(0x0e) = OpenThread
0x800D66C4, bios_CloseThread [confirmed] — BIOS call thunk -> B0(0x0f) = CloseThread
0x800D66D4, bios_ChangeThread [confirmed] — BIOS call thunk -> B0(0x10) = ChangeThread
0x800D66E4, bios_StopPad [confirmed] — BIOS call thunk -> B0(0x14) = StopPad
0x800D66F4, bios_OutdatedPadInitAndStart [confirmed] — BIOS call thunk -> B0(0x15) = OutdatedPadInitAndStart
0x800D6704, bios_OutdatedPadGetButtons [confirmed] — BIOS call thunk -> B0(0x16) = OutdatedPadGetButtons
0x800D6714, bios_ReturnFromException [confirmed] — BIOS call thunk -> B0(0x17) = ReturnFromException
0x800D6724, bios_SetDefaultExitFromException [confirmed] — BIOS call thunk -> B0(0x18) = SetDefaultExitFromException
0x800D6734, bios_SetCustomExitFromException [confirmed] — BIOS call thunk -> B0(0x19) = SetCustomExitFromException
0x800D6764, bios_file_open [confirmed] — BIOS call thunk -> B0(0x32) = file_open
0x800D6774, bios_file_read [confirmed] — BIOS call thunk -> B0(0x34) = file_read
0x800D6784, bios_file_write [confirmed] — BIOS call thunk -> B0(0x35) = file_write
0x800D6794, bios_file_close [confirmed] — BIOS call thunk -> B0(0x36) = file_close
0x800D67A4, bios_FormatDevice [confirmed] — BIOS call thunk -> B0(0x41) = FormatDevice
0x800D67B4, bios_firstfile [confirmed] — BIOS call thunk -> B0(0x42) = firstfile
0x800D67C4, bios_nextfile [confirmed] — BIOS call thunk -> B0(0x43) = nextfile
0x800D67D4, bios_ChangeClearPad [confirmed] — BIOS call thunk -> B0(0x5b) = ChangeClearPad
0x800D67E4, bios_ChangeClearRCnt [confirmed] — BIOS call thunk -> C0(0x0a) = ChangeClearRCnt
0x800D696C, 7 GTE ops
0x800D69EC, 29 GTE ops
0x800D6B4C, 23 GTE ops
0x800D6C58, 18 GTE ops
0x800D6D3C, 18 GTE ops
0x800D6E24, 28 GTE ops
0x800D6F34, 19 GTE ops
0x800D7094, 6 GTE ops
0x800D7224, 8 GTE ops
0x800D72C0, 8 GTE ops
0x800D7328, 8 GTE ops
0x800D7370, 8 GTE ops
0x800D73B8, 8 GTE ops
0x800D740C, 11 GTE ops
0x800D758C, 5 GTE ops
0x800D78EC, bios_FlushCache [confirmed] — BIOS call thunk -> A0(0x44) = FlushCache
0x800D7B8C, MDEC_rest [confirmed] — logs its own name in the literal "MDEC_rest:bad option(%d)\n"
0x800D7DAC, refs "MDEC_in_sync"
0x800D7E44, refs "MDEC_out_sync"
0x800D7EDC, refs "%s timeout:\n"
0x800D8ED0, classified DATA (string literals) rather than code; 2 GTE ops
0x800D9260, classified DATA (string literals) rather than code; 2 GTE ops
0x800D954C, classified DATA (string literals) rather than code; 2 GTE ops
0x800D9558, classified DATA (string literals) rather than code; 2 GTE ops
0x800D9564, classified DATA (string literals) rather than code; 2 GTE ops
0x800D95A4, classified DATA (string literals) rather than code; 2 GTE ops
0x800D95B0, classified DATA (string literals) rather than code; 2 GTE ops
0x800D95D4, classified DATA (string literals) rather than code; 2 GTE ops
0x800D95E0, classified DATA (string literals) rather than code; 2 GTE ops
0x800D95EC, classified DATA (string literals) rather than code; 2 GTE ops
0x800D95F4, classified DATA (string literals) rather than code; 2 GTE ops
0x800D9600, classified DATA (string literals) rather than code; 2 GTE ops
0x800D9624, classified DATA (string literals) rather than code; 2 GTE ops
0x800D962C, classified DATA (string literals) rather than code; 2 GTE ops
0x800D9640, classified DATA (string literals) rather than code; 2 GTE ops
0x800DB024, classified DATA (string literals) rather than code; 2 GTE ops
0x800DB290, classified DATA (string literals) rather than code; 2 GTE ops
0x800DFF80, 1 GTE ops
0x800DFF88, 1 GTE ops
0x800F041C, 4 GTE ops
0x800F0424, 4 GTE ops
0x800F0594, 4 GTE ops
0x800F059C, 4 GTE ops
0x800F084C, 4 GTE ops
0x800F0854, 4 GTE ops
0x800F085C, 4 GTE ops
0x800F0A08, 4 GTE ops
0x800F0A24, 4 GTE ops
0x800F0A2C, 4 GTE ops
0x800F0A34, 4 GTE ops
0x800F0A3C, 4 GTE ops
0x800F0A44, 4 GTE ops
0x800F0A4C, 4 GTE ops
0x800F0A54, 4 GTE ops
0x800F0A5C, 4 GTE ops
0x800F0AA4, 4 GTE ops
0x800F0AAC, 4 GTE ops
0x800F0AB4, 4 GTE ops
0x800F0ABC, 4 GTE ops
0x800F0B64, 4 GTE ops
